okay|0kkay
cane|cannae
cannot|cannae
can't|cannae
cannot|cannnnot
captain|capt
carbohydrates|carb
carbohydrates|carbs
care|caree
care|careee
cares|careeeesssss
careful|carefull
can't|carn't
catching|catchin
catching|catchn
category|catergory
caters|catorce
caught|caugh
because|cause
because|caz
celebrity|celeb
celebrities|celebritiess
celebrities|celebs
cell|cellp
cell|celly
come|ceme
came|ceme
except|cept
certain|cert
you|cha
you're|cha
channel|chanel
changing|changin
changing|changng
change|chanqe
character|charater
charging|chargin
charging|charginv
carries|charries
cherries|charries
chasing|chasinn
chatting|chattin
champion|chav
cheating|cheatin
checked|checkd
checking|checkin
cheap|cheep
cheering|cheerin
check|chek
stresses|chessed
chevy|chev
chevrolet|chev
changed|chged
chicks|chickas
chicken|chickn
chocolate|chiclit
chicks|chics
chilling|chiilin
chick|chik
chilling|chilen
chilling|chilin
chilling|chillen
chili|chilli
chilling|chillin
chill|chilll
chilling|chilln
chilling|chiln
chinese|chinse
chipmunk|chipmonk
chicks|chix
chip|chix
check|chk
chocolate|choc
chocolate|chocalate
chocolate|choco
chocolate|chocs
chocolates|chocs
champion|chompin
chomping|chompin
choose|choonz
chance|choonz
tunes|choonz
choose|choos
chorus|chorizo
charismatic|chrasmatic
christmas|chrismas
christmas|christmass
christmas|christmassy
christmas|christmast
you|chu
chat|chut
you|chuuuu
sciences|ciencias
cigarette|cig
cigarettes|ciggys
cigarettes|cigs
city|cit
call|ckall
can't|ckant
cock|ckck
cooking|cking
cool|ckool
because|ckuz
clear|cl
clapping|clappin
classic|classiccc
class|classs
could|cld
cleaning|cleanin
client|clint
clipping|clippn
clitoris|clit
closing|closin
clubbing|clubbin
come|cme
comment|cmmnt
comment|cmt
can|cn
can't|cnt
cool|co0l
coach|coac
coaching|coachin
coffee|coffe
cold|col
collaborators|collaboraters
collaborations|collabs
collars|collas
collard|collas
collective|collectie
collecting|collectin
comparison|comaprison
come|comee
commercial|comercial
coming|comign
coming|comin
coming|commin
coming|comming
commission|commision
communication|commnication
coming|comn
computer|comp
company|compan
compass|compas
completely|completly
complaint|compliant
computer|comptoir
concert|concerto
condition|cond
condition|condidtion
conference|conf
conformed|conformei
congratulations|congrads
congrats|congrast
congrats|congratz
consequences|consequeces
constitution|const
constitutional|const
consumer|consum
continued|cont
continued|cont'd
continued|contd
contemplating|contemplatin
continue|contine
continue|continu
contribution|contributin
control|controll
conversion|conv
conversion|convers
conversation|convo
conversation|convos
cool|coo
cooking|cookiin
cooking|cookin
cooks|cookys
cookies|cookys
cooling|coolin
cookies|coookies
cool|coool
cool|cooool
coordinate|coordi
copy|copie
coping|copin
copping|coppin
cooperation|copt
cordially|cordevalle
corporation|corp
because|cos
consign|cosign
caught|cought
couldn't|couldn
couldn't|couldnt
counting|countin
couple|coup
because|cous
because|coz
copies|cps
except|cpt
captain|cptn
create|cr8te
crack|craaaaack
crack|cracc
cracking|crackin
cracking|crackn
craig's|craigs
crazy|crassie
crawling|crawlin
crazy|craz
crazy|crazee
crazy|crazyy
crazy|crazyyy
circle|crcl
crib|cribb
christmas|crimbo
criminal|criminy
christian|cristian
critical|crit
crunch|crunchhhhhh
crying|cryin
cisco|csco
could|cud
could|cudd
cuddle|cuddlee
couldn't|cudnt
cuffing|cuffin
cut|cuh
because|cuhz
could|culd
cultural|cultura
come|cum
coming|cum'ing
coming|cumin
common|cummin
coming|cumn
comes|cums
counted|cunted
church|curch
currently|currentl
because|cus
cause|cuse
because|cuse
curse|cuss
customer|cust
cute|cutee
cute|cuteee
cute|cutie
cutie|cutiie
cut|cutt
cutting|cuttin
cute|cuuute
because|cuz
cousin|cuzin
cousins|cuzins
cousin|cuzo
because|cuzz
cousin|cuzzin
cousin|cuzzo
quiz|cuzzo
cousin's|cuzzoz
sun|cyyyn
because|cz
doing|d0in
the|da
day|daaaay
days|daays
daddy's|daddys
the|dah
that|daht
day|dai
damn|dammm
damn|damnn
damn|damnnn
damn|damnnnn
damn|damnnnnn
dancing|dancin
dancing|dancinnn
dancing|dancinq
dangerous|dangerus
darling|darlinn
that|dat
that's|dat's
dating|dateng
deadline|datline
that's|dats
that|datt
dogs|dawgs
days|dayss
days|daysz
damn|dayum
day|dayy
day|dayyy
day|dayyyy
days|dayz
that's|daz
those|daz
didn't|ddnt
dealing|dealin
december|dec
deck|decc
december|decemb
deception|decepticon
dead|ded
dedicate|dedicat
the|dee
deep|deeeep
these|deez
definitely|def
definitely|deff
definitely|deffo
definitely|definately
definitely|definatly
definitely|definetly
definitely|definitly
definitely|defo
default|defult
degree|deg
they|deim
delivers|deliverys
deliveries|deliverys
them|dem
then|den
denny's|dennys
depending|dependin
depressed|depressseeedd
department|dept
there|dere
there's|deres
these|des
disaster|desaster
disconnect|desconecte
these|dese
desire|desiree
development|dev
developer|dev
den|dev
development|developement
develop|developp
developing|developping
they|dey
the|dha
the|dhaa
that's|dhas
that|dhat
the|dhe
these|dhese
this|dhis
diabetes|diabeetus
dicking|dickin
dick|dickk
didn't|dident
didn't|didnt
die|dieeeeee
different|diferent
different|diff
different|diffrent
differs|diffs
different|difft
digging|diggin
digital|digi
did|diid
dinner|dinero
diner|dinero
didn't|dint
digits|diqits
this|dis
disclosed|disclosedt
design|disign
disinformation|disinfo
this|diss
disappointed|dissapointed
disappointing|dissapointing
distribution|disti
district|distric
ditching|ditchin
did|div
divorced|div
this|diz
download|dl
download|dll
dollars|dlls
downloaded|dloaded
downloading|dloading
domain|dmn
do|dn
done|dn
and|dnd
done|dne
doing|dng
don't|dnt
doctor|doc
duchy|dochi
doctors|docs
document|docu
dodge|dodgy
does|doee
done|doen
doesn't|doesn
doesn't|doesnt
doing|doiin
doing|doiing
doing|doiinq
doing|doin
doing|doingg
doing|doinn
doing|doinq
dole|dolie
dollar|dolla
don't|don
doing|dong
dong|donggg
done|donk
donkeys|donks
don't|dont
done|donte
do|doo
dude|dood
don't|doonnt
do|dooo
do|doooo
done|doooone
do|dooooo
do|doooooo
down|dooown
doesn't|dosent
doubtful|doubtfull
duchy|dousche
douche|dousche
doubt|dout
dived|dovada
down|downn
drag|draaaag
drag|dragggg
dragging|draggin
drama|drammmmmaaa
drawing|drawin
dreaming|dreamin
dreams|dremas
dress|dres
dried|dri
driving|dri
drinking|drinkin
driving|drivin
dream|drm
dropping|droppin
drops|dropz
dropped|drpd
draped|drpd
dirt|drt
drum|drums
destroy|dstroy
digital's|dt's
dude|dudeeee
dices|duecez
suit|duit
dumb|dum
dumb|dumbb
dumb|dumbbb
dumb|dumi
dummy|dummmy
don't|dun
don't|dunt
dumped|dupped
during|durin
duet|duvet
doesn't|duzn
down|dwn
did|dyd
dying|dyin
dying|dyingggg
dying|dyinnnn
heading|eading
leading|eading
urgent|eargent
easy|easi
easier|easies
eating|eati
eating|eatin
eating|eatininnn
eating|eatinq
eaten|eatn
eating|eatting
ease|eaze
academy|ecademy
ecstasy|ecstacy
edge|edg
even|eeeeven
eggs|eegs
been|een
even|eeven
effective|effektive
fucking|effen
offer|effer
fucking|effin
fucking|effing
effect|eft
eagerly|ega
them|ehem
hello|ello
else|elsker
else|elsle
them|em
embarrassed|embarassed
embarrassing|embarressing
embarrassed|embarrsed
emerging|emergi
emma's|emmas
emotional|emo
empty|emptyy
encouraging|encouragin
endorsement|endoresment
enemies|enemiesss
envy|enev
even|enev
envelopes|enevolpes
engineering|engg
engineer|enginer
enjoying|enjoyin
intend|entiendo
enough|enuf
enough|enuff
environment|env
envy|envi
episode|ep
episode|epi
episode|eps
everybody|erbody
everything|err'thang
everybody|errbody
everybody|errybody
early|ery
everybody|erybody
especially|esp
especially|especialy
essence|essences
ecstatic|estatic
even|ev
ever|eva
ever|evaaaaaaaa
evaporation|evap
ever|evar
ever|evefr
everybody|everbody
everyday|everday
ever|everr
ever|everrr
ever|everrrrrrrrrr
everything|everthing
everytime|evertime
everyone|every1
everybody|everybodyy
everyday|everydy
everything|everyhthing
everyone|everyonee
everything|everythin
everyone|eveyrone
even|evn
event|evnt
ever|evr
everyday|evrday
every|evry
everyone|evry1
everybody|evrybody
everybody's|evrybody's
everyone|evryone
everything|evrything
everywhere|evrywhr
everybody|evvvverybody
exaggerate|exagerate
exchange|exchage
excited|excitedd
excellence|excl
executive|exec
excellent|exelente
excellent|exellent
experience|exp
expand|expan
experienced|exper'd
express|expess
explode|explodeee
explorer|explora
experience|expr
extension|ext
eyes|eyeeeessss
hey|eyy
easy|ez
fucking|f'n
for|fa
faded|faaaadddd
face|faaace
fabulous|fab
fabulous|fabolous
face|facee
face|faceeee
fails|failssss
fake|fakee
fuck|fakkk
falling|fallinq
follow|fallow
falls|fallz
family|fam
famous|fams
fame|famz
face|fance
fans|fanns
father|fathir
favorite|fav
favorite|fave
favorites|faves
favorites|favs
favorite|favvvvvvvvorite
facebook|fb
fuck|fck
fucking|fck'n
fucking|fckin
fucking|fcking
fuck|fckk
fucking|fckn
fuck|fcuk
february|feb
feel|feeeeel
feel|feeel
feels|feeels
feeling|feelin
feelings|feelins
feel|feell
feeling|feeln
females|femalez
female|femalez
feminist|feminism
frame|ferme
for|ferr
family|ffam
facebook|ffb
fresh|fffffrrrrrresh
found|ffffound
forecast|fforecast
fix|fic
fits|fics
finding|fiending
fighting|fightin
fix|fik
filipino|fillipino
film|filme
finally|finalllyyyy
finally|finallyy
finally|finaly
finance|financi
finding|findin
fine|fineeeee
finishing|finishin
finally|finnally
girl|firl
first|firstt
first|firts
fish|fisshhh
fixing|fixin
fuck|fk
fucking|fkn
florida|fla
flagging|flaggin
flexing|flexin
flipping|flippin
flock|flocka
flowing|flowin
flying|flyin
family|fml
for|fo
focused|focased
for|fof
follow|folllow
follow|follloww
following|follow'n
followers|followerr
followers|followerrs
followers|followerss
following|followin
follow|followw
followers|follwers
follow|folow
following|folowing
format|fomat
phone|fone
fool|foolio
food|foooooood
for|foooooor
forever|foreeeeever
forever|forevaa
fourth|forh
for|forh
formula|formel
for|forr
forward|forw
for|fou
front|fount
forum|fourm
for|fr
frock|fraca
frenzy|franzy
free|fre
freaking|freaken
freaking|freakin
free|freee
freaking|freekinq
freezing|freezin
friend|freind
friends|freinds
friends|freinnds
friend|fren
enemy|frenemy
fresh|freshh
forgot|frgt
friday|fri
freaking|frickin
friday|fridayy
friends|friemds
friends|friendas
friends|friendss
freaking|friggen
freaking|friggin
freaking|frikin
foregone|frikn
freaking|frikn
from|frm
friend|frnd
friends|frnds
friends|frndz
fronting|frontin
friends|frs
freshman|frshmn
from|frumm
feet|ft
fabulous|fubus
fuck|fuc
fuck|fucc
fucking|fuccin
fucking|fucin
fucker|fucka
fuckers|fuckas
fucking|fucken
fuck|fuckeryy
fucking|fuckin
fucking|fuckinq
fuck|fuckk
fucked|fuckked
fucking|fuckkin
fuck|fuckkk
fuck|fuckkkk
fucking|fuckn
fuck|fugg
ugly|fugly
for|fuh
fuck|fuk
fucking|fukcking
fucked|fuked
fucking|fukin
fucking|fuking
fuck|fukk
fucking|fukkin
fuck|fukkkk
fucking|fukn
vulgar|fulgar
functions|funcs
funny|funi
fun|funn
funny|funni
fun|funnn
functional|funtional
funny|funy
fuck|fuq
furnished|furnis
friends|furriends
fucking|fusking
fuck|fuuuck
fuck|fuuuuck
fuck|fuuuuuck
future|fuuuuuture
fix|fux
forward|fwd
fucking|fxck
fit|fyt
fight|fyt
fuzz|fz
go|g0
got|gaat
gay|gaay
girls|galz
game|gam
gangsters|gangstas
gangster|gansta
girl|gaolll
gas|gasc
gassing|gassin
guard|gaurd
god|gaw
god|gawd
gods|gawds
gay|gayyy
good|gd
goodness|gdns
jesus|geeeezzz
gess|geeeezzz
geeking|geekin
jacket|geekout
get|geet
jesus|geez
jesus|geezzzz
geography|geo
girl|gerl
girls|gers
getting|getin
getting|geting
getting|getn
get|gett
getting|gettij
getting|gettin
getting|gettn
getting|gettng
get|getz
good|gewd
girlfriend|gf
guard|gh3ad
girls|giiiirlss
girls|girla
girl|girlie
girls|girlies
girl|girll
girls|girly
girls|girlz
girls|girrrllllsssssss
girdle|girtle
get|git
get|gitu
guitar|gitu
give|giv
giving|givin
global|globa
games|gms
going|gn
generaly|gnarly
gone|gne
going|gng
generations|gnrations
goes|go's
god|goddd
god|godddd
godspeed|godsped
gods|godz
going|goiin
going|goin
going|goingg
go|gom
gone|gome
going|gon
go|goo
good|goog
going|gooing
go|gooo
good|goood
good|gooodie
go|goooo
good|gooood
good|goooodd
go|gooooo
good|goooood
goodbye|gooooodbyee
go|goooooo
good|gooooood
good|goooooood
gosh|gosshh
got|gots
got|gotti
got|gotz
government|gov
government|gov't
government|governme
government|govt
going|gowin
gain|gpin
great|gr8
gracefully|gracefuly
graduate|gradu
graduates|gradu
gradual|gradu
gradients|graduands
graduates|graduands
great|grat
gratuitous|gratuitos
great|greaaaat
grateful|greatful
great|greatttt
gregarious|gregs
grills|grillz
grinding|grind'n
grinding|grindin
girl|grl
gross|groooss
grouchy|grouchyyyyy
group|groupie
growing|growin
great|grrreat
girls|grrrls
great|grt
get|gt
getting|gtng
guy|gua
good|gud
good|gudd
guide|gude
good|gude
guess|guesssss
girl|gul
girl|gurl
girls|gurls
guitar|gutar
good|guud
guys|guyss
guys|guysss
guys|guyz
give|gv
government|gvmnt
girl|gyal
home|h0me
hoping|h0pin
here|h3r3
hate|h8
happy|haaaaapppy
hobby|habbo
had|hadd
had|hadddddddddddddd
have|haev
hair's|hairz
hilarious|halarious
hello|hallo
hanging|hangin
hanging|hangingg
hangover|hannover
hang|hanq
hand|hanq
hanging|hanqin
happened|hapend
happened|hapenned
happened|happend
happening|happenin
happy|happiie
happens|happns
happy|happpy
happy|hapy
hard|harrrd
hasbro|hasbroen
has|hasn
hasn't|hasnt
haters|haterz
hate|hati
hating|hatin
hate|hattte
have|hav
have|hav3
have|havee
haven't|havent
hates|haves
has|haves
having|havin
having|havinqq
having|havn
haven't|havn't
haven't|havnt
hot|hawt
has|haz
head|hea
heading|headin
heading|headingg
heals|healz
heard|hearded
hearing|heariin
hearing|hearin
heart|heartt
heavily|heavilly
hey|heeeeey
hello|heeeellllllloooooooo
hey|heeeey
hey|heeey
hey|heey
he|hei
hi|heii
hell|helll
hell|hellllllaaaaa
hello|hellooo
hello|helloooo
hell|hellz
help|helphelphelppppp
helping|helpin
helping|helpn
help|helpppp
here|heree
here's|heres
hershey's|hershys
he's|hes
he's|hess
hit|het
that|het
he|het
hey|heya
hey|heyy
hey|heyyy
hey|heyyyy
he's|hez
hi|hhi
him|hiam
hair|hiar
hide|hid
her|hier
hi|hii
hi|hiii
hi|hiiii
hilarious|hillarious
him|himm
high|hiqh
his|hiss
hit|hit1o
hitting|hittin
him|hiw
hold|hld
holding|hldin
hollywood|hllywd
home|hme
hoes|hoez
hosts|hoez
holiday|hoiliday
holiday|hol
holding|holdin
holidays|hollidays
holly's|hollys
holidays|hols
home|homee
home|homeee
homework|homeworkk
home|homie
homes|homies
home|hommie
home|hoooome
how|hoooow
hot|hoootttt
how|hoow
hoping|hopin
hope|hoppe
hopping|hoppin
horror|hor
hour|hor
has|hos
hospital|hosp
hospital|hospiitall
hot|hott
hottest|hott'st
hot|hottt
houston|hou
hours|hourssss
hours|hourz
house|hous3
house|housee
house|housey
housewife|houswife
out|hout
how's|hows
how|howw
hope|hpe
hour|hr
hard|hrd
hours|hrs
he|hse
she|hse
hip|htp
hot|htt
http|httpp
husband|hubbie
husband|hubby
husbands|hubbys
human|humax
hump|humba
humiliate|humilate
honey|hun
hundredth|hundreth
hungry|hungrey
hungry|hungrryyy
honey|huni
honey|hunnaaay
honey|hunni
honey|hunnie
honey|hunnnyy
honey|hunny
hurrah|hurah
hard|hurdd
heard|hurdd
hair|hurr
hurry|hurri
hurt|hurtd
hurts|hurtd
hurting|hurtin
hurt|hurtttt
husband|husbandd
husband's|husbond's
hush|hushh
have|hv
have|hve
having|hvng
how|hw
what|hwat
highway|hwy
hey|hyeee
humans|hyoomans
hoping|hyping
i've|i'v
ice|iceee
pick|ick
sick|ick
i'd|id
ideas|ideass
item|idem
alright|igght
alright|ight
ignore|igno
it|iht
i|ii
if|iif
alright|iigght
light|iigght
right|iigght
light|iight
i|iiii
is|iiiis
in|iin
alright|iiqht
right|iiqht
right|iiqhtt
irritating|iirratiin
is|iis
this|iisj
it|iit
its|iits
i'll|ill
list|illest
illuminate|illuminati
image|img
importance|improtance
important|impt
into|in2
including|incl
india|ind
india|indiaaaaaaaa
industrial|industriel
wines|iness
ins|iness
inflatable|inflateable
infuse|infuze
england|ingland
increases|ingressos
invite|inite
into|initt
injection|inj
injured|injurd
in|inn
inn|inny
single|inqle
instantly|insanely
inside|insidee
insider|insiderr
instrument|instrumen
international|int
international|int'l
interface|inte
interesting|inte
internet|inte
intellect|intellec
interesting|interesat
internet|internets
until|intill
intimation|intim
international|intl
introduction|intr
interesting|intresting
introduction|intro
interested|intrstd
interview|intv
initiative|intv
investment|inv
involves|involvs
in|iny
air|ir
in|ir
girl|irl
shit|ishh
is|ishh
wish|ishh
isn't|isn
isn't|isnt
is|iss
issuing|issuin
is|isz
it|ita
it|ite
its|itss
it|itt
it|ittt
it|itttt
it's|itz
extreme|ixtreme
is|iz
taboo|jaboo
jack|jac
jacksonville|jacsonville
jaguar|jag
jailing|jailin
jack|jakk
jam|jamm
jammer|jamma
gamma|jamma
jamming|jammin
january|jan
january|januari
girl|jarule
johns|jawns
jade|jeddah
jesus|jeeze
jealous|jelous
jerking|jerkin
jerking|jerkinn
jerry's|jerrys
res|jes
just|jes
jessica|jessicaaaa
jug|jg
jimmy's|jimmys
jacket|jkt
job|jobbb
hobbies|jobbies
jogging|joggin
joined|joind
jokes|jokies
joking|jokin
josh|joshh
journal|journ
joy|joyyyyyy
just|js
just|jst
just|jsut
judge|jugde
juicy|juicyyy
juliet|julliet
jumping|jumpin
just|jus
just|juss
justin's|justins
just|justt
just|justtt
just|jux
just|juz
just|jz
ok|k
kidded|kadut
call|kall
called|kalled
can|kan
can't|kant
care|kare
careful|kareful
carrot|karrot
kiss|kasih
really|kaw
saw|kaw
club|kayleb
keep|keek
keeping|keepin
reinstall|keinstall
kevin|kevinn
cool|kewl
comet|kiamat
kicking|kickin
kicking|kickkin
kid|kidddddd
kidding|kiddiing
kidding|kiddin
kid|kiddo
kids|kiddos
kids|kidz
kiss|kiess
kidding|kiiddiing
killer|killa
killing|killin
kill|killlllllllll
killing|killn
king|kinz
kissing|kissin
kitty|kittyyy
ok|kkkk
ok|kkkkk
karma|kma
commit|kmt
know|kn0
know|kno
knocker|knockerrr
knocking|knockin
knocked|knockrd
know|knoe
know|knoo
know|knoooo
know|knoow
knowing|knowin
know|knoww
know|knowww
cant|knt
not|knt
can't|knt
kent|knt
know|knw
knowing|knwing
know|knwo
knows|knws
road|koad
log|kog
gold|kold
come|kome
coming|komin
coming|koming
compatible|kompatible
complete|komplett
comet|komt
convict|konvict
know|konw
cool|koo
cool|kool
cooled|koolaid
crazy|krazii
crazy|krazy
crib|krib
christmas|krismas
kiss|ksoo
culture|kulture
come|kum
curse|kurs
group|kurup
breakfast|kushfast
because|kuz
know|kw
late|l8
later|l8er
later|l8r
late|l8te
ladies|laddieeeeeessssssss
lady|ladi
lady|lado
laugh|laf
laughing|laffin
lagging|laggy
lame|lamee
laptop|lappy
later|laterr
later|laterrr
later|latr
laughing|laughin
lauren|laureeennnn
lord|lawd
laying|layin
laying|layinn
laying|layn
late|layta
later|layta
laying|lazing
ladies|lds
leah|leaahhh
leading|leadi
learning|learnign
leaving|leavin
leaving|leavinqq
leaving|leavn
legends|leeeeeeegends
legs|legos
let's|let'z
lets|letsssss
letting|lettin
levels|levelz
from|lfrom
little|liatla
liberals|libs
lick|licc
licking|lickn
little|liddle
little|liddo
lying|liein
like|liek
lies|liez
life|lifee
life|lifeee
lie|liie
life|liife
like|liike
little|liil
link|liink
like|lik
like|likee
like|likeee
likely|likel
likely|likey
liking|likin
likely|likkle
like|likw
little|lil
language|lingo
bilingual|lingual
linking|linkin
tipped|lipped
listening|lissenin
listening|listenin
living|livin
living|livinq
like|lk
like|lke
will|ll
life|llife
following|llowing
allowing|llowing
long|lng
low|loa
local|loc
local|locas
locked|lockd
lockers|lockerz
locking|lockin
look|loko
lollipop|lollypop
long|longg
long|longggg
long|lonq
looking|lookin
looking|lookn
look|loook
long|looong
look|looook
long|loooong
longo|loooonnnngggooooo
long|looooong
love|looooove
love|loooove
lose|looose
loose|looose
love|looove
loosing|loosin
love|loove
lone|lorne
loosen|losen
losing|losin
lots|lotsss
lot|lotttt
love|lov
loves|love'ss
love's|love'ss
love|lovee
love|loveee
