okay|0kkay
closing|closin
clubbing|clubbin
come|cme
comment|cmmnt
comment|cmt
can|cn
can't|cnt
cool|co0l
coach|coac
coffee|coffe
cold|col
collard|collas
collective|collectie
comparison|comaprison
come|comee
commercial|comercial
coming|comign
coming|comin
coming|commin
coming|comming
commission|commision
communication|commnication
coming|comn
computer|comp
company|compan
compass|compas
completely|completly
complaint|compliant
computer|comptoir
concert|concerto
condition|cond
condition|condidtion
conference|conf
congratulations|congrads
congrats|congrast
congrats|congratz
consequences|consequeces
constitution|const
constitutional|const
consumer|consum
continued|cont
continued|cont'd
continued|contd
contemplating|contemplatin
continue|contine
continue|continu
contribution|contributin
control|controll
conversion|conv
conversion|convers
conversation|convo
conversation|convos
cool|coo
cooking|cookiin
cooking|cookin
cookies|cookys
cookies|coookies
cool|coool
cool|cooool
coordinate|coordi
copy|copie
coping|copin
copping|coppin
cooperation|copt
cordially|cordevalle
corporation|corp
because|cos
consign|cosign
caught|cought
couldn't|couldn
couldn't|couldnt
couple|coup
because|cous
because|coz
copies|cps
except|cpt
captain|cptn
create|cr8te
crack|craaaaack
crack|cracc
cracking|crackin
cracking|crackn
crazy|crassie
crazy|craz
crazy|crazee
crazy|crazyy
crazy|crazyyy
circle|crcl
crib|cribb
christmas|crimbo
criminal|criminy
christian|cristian
critical|crit
crunch|crunchhhhhh
crying|cryin
cisco|csco
could|cud
could|cudd
cuddle|cuddlee
couldn't|cudnt
cut|cuh
because|cuhz
could|culd
cultural|cultura
come|cum
coming|cum'ing
coming|cumin
common|cummin
coming|cumn
comes|cums
church|curch
currently|currentl
because|cus
cause|cuse
because|cuse
curse|cuss
customer|cust
cute|cutee
cute|cuteee
cute|cutie
cutie|cutiie
cut|cutt
cutting|cuttin
cute|cuuute
because|cuz
cousin|cuzin
cousin|cuzo
because|cuzz
cousin|cuzzin
cousin|cuzzo
quiz|cuzzo
sun|cyyyn
because|cz
doing|d0in
the|da
day|daaaay
days|daays
the|dah
that|daht
day|dai
damn|dammm
damn|damnn
damn|damnnn
damn|damnnnn
damn|damnnnnn
dancing|dancin
dancing|dancinnn
dancing|dancinq
dangerous|dangerus
darling|darlinn
that|dat
that's|dat's
dating|dateng
deadline|datline
that's|dats
that|datt
dogs|dawgs
days|dayss
days|daysz
damn|dayum
day|dayy
day|dayyy
day|dayyyy
days|dayz
that's|daz
those|daz
didn't|ddnt
dealing|dealin
december|dec
deck|decc
december|decemb
deception|decepticon
dead|ded
dedicate|dedicat
the|dee
deep|deeeep
these|deez
definitely|def
definitely|deff
definitely|deffo
definitely|definately
definitely|definatly
definitely|definetly
definitely|definitly
definitely|defo
default|defult
degree|deg
they|deim
deliveries|deliverys
them|dem
then|den
depressed|depressseeedd
department|dept
there|dere
there's|deres
these|des
disaster|desaster
disconnect|desconecte
these|dese
desire|desiree
development|dev
developer|dev
den|dev
development|developement
develop|developp
developing|developping
they|dey
the|dha
the|dhaa
that's|dhas
that|dhat
the|dhe
these|dhese
this|dhis
diabetes|diabeetus
dick|dickk
didn't|dident
didn't|didnt
die|dieeeeee
different|diferent
different|diff
different|diffrent
different|difft
digging|diggin
digital|digi
did|diid
dinner|dinero
diner|dinero
didn't|dint
this|dis
disclosed|disclosedt
design|disign
this|diss
disappointed|dissapointed
distribution|disti
district|distric
did|div
divorced|div
this|diz
domain|dmn
done|dn
and|dnd
done|dne
doing|dng
don't|dnt
doctor|doc
duchy|dochi
document|docu
dodge|dodgy
does|doee
done|doen
doesn't|doesn
doesn't|doesnt
doing|doiin
doing|doiing
doing|doiinq
doing|doin
doing|doingg
doing|doinn
doing|doinq
dole|dolie
dollar|dolla
don't|don
doing|dong
dong|donggg
done|donk
don't|dont
done|donte
dude|dood
don't|doonnt
done|doooone
down|dooown
doesn't|dosent
doubtful|doubtfull
duchy|dousche
douche|dousche
doubt|dout
down|downn
drag|draaaag
drag|dragggg
dragging|draggin
drama|drammmmmaaa
drawing|drawin
dreaming|dreamin
dreams|dremas
dress|dres
dried|dri
driving|dri
drinking|drinkin
driving|drivin
dream|drm
dropping|droppin
drops|dropz
dirt|drt
drum|drums
destroy|dstroy
dude|dudeeee
suit|duit
dumb|dum
dumb|dumbb
dumb|dumbbb
dumb|dumi
dummy|dummmy
don't|dun
don't|dunt
during|durin
duet|duvet
doesn't|duzn
down|dwn
did|dyd
dying|dyin
dying|dyingggg
dying|dyinnnn
heading|eading
leading|eading
urgent|eargent
easy|easi
easier|easies
eating|eati
eating|eatin
eating|eatininnn
eating|eatinq
eaten|eatn
eating|eatting
ease|eaze
academy|ecademy
ecstasy|ecstacy
edge|edg
even|eeeeven
been|een
even|eeven
effective|effektive
fucking|effen
offer|effer
fucking|effin
fucking|effing
effect|eft
eagerly|ega
them|ehem
hello|ello
else|elsker
else|elsle
them|em
emerging|emergi
emotional|emo
empty|emptyy
encouraging|encouragin
endorsement|endoresment
envy|enev
even|enev
engineering|engg
engineer|enginer
intend|entiendo
enough|enuf
enough|enuff
environment|env
envy|envi
episode|ep
episode|epi
episode|eps
everybody|erbody
everything|err'thang
everybody|errbody
everybody|errybody
early|ery
everybody|erybody
especially|esp
especially|especialy
essence|essences
ecstatic|estatic
even|ev
ever|eva
ever|evaaaaaaaa
evaporation|evap
ever|evar
ever|evefr
everybody|everbody
everyday|everday
ever|everr
ever|everrr
ever|everrrrrrrrrr
everything|everthing
everyone|every1
everybody|everybodyy
everyday|everydy
everything|everyhthing
everyone|everyonee
everything|everythin
everyone|eveyrone
even|evn
event|evnt
ever|evr
everyday|evrday
every|evry
everyone|evry1
everybody|evrybody
everyone|evryone
everything|evrything
everywhere|evrywhr
everybody|evvvverybody
exaggerate|exagerate
exchange|exchage
excited|excitedd
excellence|excl
executive|exec
excellent|exelente
excellent|exellent
experience|exp
expand|expan
experienced|exper'd
express|expess
explode|explodeee
explorer|explora
experience|expr
extension|ext
eyes|eyeeeessss
hey|eyy
easy|ez
fucking|f'n
for|fa
faded|faaaadddd
face|faaace
fabulous|fab
fabulous|fabolous
face|facee
face|faceeee
fake|fakee
fuck|fakkk
falling|fallinq
follow|fallow
falls|fallz
family|fam
famous|fams
fame|famz
face|fance
father|fathir
favorite|fav
favorite|fave
favorite|favvvvvvvvorite
fuck|fck
fucking|fck'n
fucking|fckin
fucking|fcking
fuck|fckk
fucking|fckn
fuck|fcuk
february|feb
feel|feeeeel
feel|feeel
feeling|feelin
feel|feell
feeling|feeln
female|femalez
feminist|feminism
frame|ferme
for|ferr
family|ffam
fresh|fffffrrrrrresh
found|ffffound
forecast|fforecast
fix|fic
finding|fiending
fighting|fightin
fix|fik
filipino|fillipino
film|filme
finally|finalllyyyy
finally|finallyy
finally|finaly
finance|financi
finding|findin
fine|fineeeee
finally|finnally
girl|firl
first|firstt
first|firts
fish|fisshhh
fixing|fixin
fuck|fk
fucking|fkn
florida|fla
flagging|flaggin
flipping|flippin
flock|flocka
flowing|flowin
flying|flyin
family|fml
for|fo
focused|focased
for|fof
follow|folllow
follow|follloww
following|follow'n
following|followin
follow|followw
follow|folow
following|folowing
format|fomat
phone|fone
fool|foolio
food|foooooood
for|foooooor
forever|foreeeeever
forever|forevaa
fourth|forh
for|forh
formula|formel
for|forr
forward|forw
for|fou
front|fount
forum|fourm
for|fr
frock|fraca
frenzy|franzy
free|fre
free|freee
freezing|freezin
friend|freind
friend|fren
enemy|frenemy
fresh|freshh
forgot|frgt
friday|fri
friday|fridayy
foregone|frikn
from|frm
friend|frnd
freshman|frshmn
from|frumm
feet|ft
fabulous|fubus
fuck|fuc
fuck|fucc
fucking|fuccin
fucking|fucin
fucker|fucka
fucking|fucken
fuck|fuckeryy
fucking|fuckin
fucking|fuckinq
fuck|fuckk
fucking|fuckkin
fuck|fuckkk
fuck|fuckkkk
fucking|fuckn
fuck|fugg
ugly|fugly
for|fuh
fuck|fuk
fucking|fukcking
fucking|fukin
fucking|fuking
fuck|fukk
fucking|fukkin
fuck|fukkkk
fucking|fukn
vulgar|fulgar
funny|funi
fun|funn
funny|funni
fun|funnn
functional|funtional
funny|funy
fuck|fuq
fucking|fusking
fuck|fuuuck
fuck|fuuuuck
fuck|fuuuuuck
future|fuuuuuture
fix|fux
forward|fwd
fucking|fxck
fit|fyt
fight|fyt
fuzz|fz
got|gaat
gay|gaay
game|gam
gangster|gansta
girl|gaolll
gas|gasc
gassing|gassin
guard|gaurd
god|gaw
god|gawd
gay|gayyy
good|gd
goodness|gdns
jesus|geeeezzz
jacket|geekout
get|geet
jesus|geez
jesus|geezzzz
geography|geo
girl|gerl
getting|getin
getting|geting
getting|getn
get|gett
getting|gettij
getting|gettin
getting|gettn
getting|gettng
get|getz
good|gewd
girlfriend|gf
guard|gh3ad
girl|girlie
girl|girll
girdle|girtle
get|git
get|gitu
guitar|gitu
give|giv
giving|givin
global|globa
going|gn
gone|gne
going|gng
goes|go's
god|goddd
god|godddd
godspeed|godsped
going|goiin
going|goin
going|goingg
gone|gome
going|gon
good|goog
going|gooing
good|goood
good|gooodie
good|gooood
good|goooodd
good|goooood
goodbye|gooooodbyee
good|gooooood
good|goooooood
gosh|gosshh
got|gots
got|gotti
got|gotz
government|gov
government|gov't
government|governme
government|govt
going|gowin
gain|gpin
great|gr8
gracefully|gracefuly
graduate|gradu
gradual|gradu
great|grat
gratuitous|gratuitos
great|greaaaat
grateful|greatful
great|greatttt
gregarious|gregs
grinding|grind'n
grinding|grindin
girl|grl
gross|groooss
grouchy|grouchyyyyy
group|groupie
growing|growin
great|grrreat
great|grt
get|gt
getting|gtng
guy|gua
good|gud
good|gudd
guide|gude
good|gude
guess|guesssss
girl|gul
girl|gurl
guitar|gutar
good|guud
give|gv
government|gvmnt
girl|gyal
home|h0me
hoping|h0pin
here|h3r3
hate|h8
happy|haaaaapppy
hobby|habbo
had|hadd
had|hadddddddddddddd
have|haev
hilarious|halarious
hello|hallo
hanging|hangin
hanging|hangingg
hangover|hannover
hang|hanq
hand|hanq
hanging|hanqin
happening|happenin
happy|happiie
happy|happpy
happy|hapy
hard|harrrd
has|hasn
hasn't|hasnt
hate|hati
hating|hatin
hate|hattte
have|hav
have|hav3
have|havee
haven't|havent
has|haves
having|havin
having|havinqq
having|havn
haven't|havn't
haven't|havnt
hot|hawt
has|haz
head|hea
heading|headin
heading|headingg
hearing|heariin
hearing|hearin
heart|heartt
heavily|heavilly
hey|heeeeey
hello|heeeellllllloooooooo
hey|heeeey
hey|heeey
hey|heey
hell|helll
hell|hellllllaaaaa
hello|hellooo
hello|helloooo
hell|hellz
help|helphelphelppppp
helping|helpin
helping|helpn
help|helpppp
here|heree
here's|heres
he's|hes
he's|hess
hit|het
that|het
hey|heya
hey|heyy
hey|heyyy
hey|heyyyy
he's|hez
him|hiam
hair|hiar
hide|hid
her|hier
hilarious|hillarious
him|himm
high|hiqh
his|hiss
hit|hit1o
hitting|hittin
him|hiw
hold|hld
holding|hldin
hollywood|hllywd
home|hme
holiday|hoiliday
holiday|hol
holding|holdin
home|homee
home|homeee
homework|homeworkk
home|homie
home|hommie
home|hoooome
how|hoooow
hot|hoootttt
how|hoow
hoping|hopin
hope|hoppe
hopping|hoppin
horror|hor
hour|hor
has|hos
hospital|hosp
hospital|hospiitall
hot|hott
hottest|hott'st
hot|hottt
houston|hou
hours|hourssss
hours|hourz
house|hous3
house|housee
house|housey
housewife|houswife
out|hout
how|howw
hope|hpe
hour|hr
hard|hrd
hours|hrs
she|hse
hip|htp
hot|htt
husband|hubbie
husband|hubby
human|humax
hump|humba
humiliate|humilate
honey|hun
hundredth|hundreth
hungry|hungrey
hungry|hungrryyy
honey|huni
honey|hunnaaay
honey|hunni
honey|hunnie
honey|hunnnyy
honey|hunny
hurrah|hurah
hard|hurdd
hair|hurr
hurry|hurri
hurt|hurtd
hurting|hurtin
hurt|hurtttt
husband|husbandd
hush|hushh
have|hv
have|hve
having|hvng
how|hw
what|hwat
highway|hwy
hey|hyeee
hoping|hyping
i've|i'v
ice|iceee
pick|ick
sick|ick
i'd|id
item|idem
alright|igght
alright|ight
ignore|igno
alright|iigght
light|iigght
right|iigght
light|iight
is|iiiis
alright|iiqht
right|iiqht
right|iiqhtt
irritating|iirratiin
is|iis
this|iisj
its|iits
i'll|ill
list|illest
illuminate|illuminati
image|img
importance|improtance
important|impt
into|in2
including|incl
india|ind
india|indiaaaaaaaa
industrial|industriel
inflatable|inflateable
infuse|infuze
england|ingland
invite|inite
into|initt
injection|inj
injured|injurd
inn|inny
single|inqle
instantly|insanely
inside|insidee
insider|insiderr
instrument|instrumen
international|int
international|int'l
interface|inte
interesting|inte
intellect|intellec
interesting|interesat
until|intill
intimation|intim
international|intl
introduction|intr
interesting|intresting
introduction|intro
interested|intrstd
interview|intv
initiative|intv
investment|inv
air|ir
girl|irl
shit|ishh
is|ishh
wish|ishh
isn't|isn
isn't|isnt
is|iss
issuing|issuin
is|isz
its|itss
it's|itz
extreme|ixtreme
is|iz
taboo|jaboo
jack|jac
jacksonville|jacsonville
jaguar|jag
jack|jakk
jam|jamm
gamma|jamma
jamming|jammin
january|jan
january|januari
girl|jarule
johns|jawns
jade|jeddah
jesus|jeeze
jealous|jelous
res|jes
just|jes
jessica|jessicaaaa
jug|jg
jacket|jkt
job|jobbb
jogging|joggin
joking|jokin
josh|joshh
journal|journ
joy|joyyyyyy
just|js
just|jst
just|jsut
judge|jugde
juicy|juicyyy
juliet|julliet
just|jus
just|juss
just|justt
just|justtt
just|jux
just|juz
just|jz
kidded|kadut
call|kall
can|kan
can't|kant
care|kare
careful|kareful
carrot|karrot
kiss|kasih
really|kaw
saw|kaw
club|kayleb
keep|keek
keeping|keepin
reinstall|keinstall
kevin|kevinn
cool|kewl
comet|kiamat
kid|kidddddd
kidding|kiddiing
kidding|kiddin
kid|kiddo
kiss|kiess
kidding|kiiddiing
killer|killa
killing|killin
kill|killlllllllll
killing|killn
king|kinz
kitty|kittyyy
karma|kma
commit|kmt
know|kn0
know|kno
knocker|knockerrr
know|knoe
know|knoo
know|knoooo
know|knoow
knowing|knowin
know|knoww
know|knowww
cant|knt
not|knt
can't|knt
kent|knt
know|knw
knowing|knwing
know|knwo
road|koad
log|kog
gold|kold
come|kome
coming|komin
coming|koming
compatible|kompatible
complete|komplett
comet|komt
convict|konvict
know|konw
cool|koo
cool|kool
crazy|krazii
crazy|krazy
crib|krib
christmas|krismas
kiss|ksoo
culture|kulture
come|kum
curse|kurs
group|kurup
breakfast|kushfast
because|kuz
know|kw
late|l8
later|l8er
later|l8r
late|l8te
ladies|laddieeeeeessssssss
lady|ladi
lady|lado
laugh|laf
laughing|laffin
lagging|laggy
lame|lamee
later|laterr
later|laterrr
later|latr
laughing|laughin
lord|lawd
laying|layin
laying|layinn
laying|layn
late|layta
later|layta
laying|lazing
ladies|lds
leah|leaahhh
leading|leadi
learning|learnign
leaving|leavin
leaving|leavinqq
leaving|leavn
let's|let'z
letting|lettin
from|lfrom
little|liatla
lick|licc
licking|lickn
little|liddle
little|liddo
lying|liein
like|liek
life|lifee
life|lifeee
lie|liie
life|liife
like|liike
little|liil
link|liink
like|lik
like|likee
like|likeee
likely|likel
likely|likey
liking|likin
likely|likkle
like|likw
little|lil
language|lingo
bilingual|lingual
living|livin
living|livinq
like|lk
like|lke
will|ll
life|llife
following|llowing
long|lng
low|loa
local|loc
local|locas
look|loko
lollipop|lollypop
long|longg
long|longggg
long|lonq
look|loook
long|looong
look|looook
long|loooong
long|looooong
love|looooove
love|loooove
lose|looose
loose|looose
love|looove
loosing|loosin
love|loove
lone|lorne
loosen|losen
losing|losin
lots|lotsss
lot|lotttt
love|lov
love|lovee
love|loveee
love|loveeee
love|loveeeee
lovely|lovelyy
lover|loverr
love|lovex
love|lovey
loving|lovin
last|lst
limited|ltd
love|lubb
lube|lubeee
luck|luci
love|luda
love|luh
luck|luk
liquid|luqid
love|luv
loving|luvin
love|luvv
loving|luvvin
love|lv
level|lvl
life|lyfe
lying|lyin
like|lyk
lenses|lynseys
like|lyyke
am|m
morning|m0rning
madam|ma'am
may|maaaae
mae|maaaae
man|maaaan
man|maaan
make|maake
man|maan
madam|macam
mad|madd
mad|maddd
made|madde
mad|madh
made|madh
main|maen
magazine|magazin
mai|maiiiiiiii
make|makee
make|maken
making|makin
making|makn
mommy|mamita
mama|mamma
management|managment
manhood|mandoo
man|mann
man|mannn
man|mannnn
man|mannz
matter|matan
mattress|matress
matter|matta
maximum|max
maybe|mayb
maybe|maybeh
perhaps|mayhaps
main|mayn
many|mayn
man|mayn
man|mayne
amazing|mazing
mom|mcm
medium|mdm
mean|meanie
means|meens
met|meeted
meeting|meetin
men|mehn
major|mejor
melt|meltdo
member|mem
remember|memba
mingle|menggila
mankind|mengunduh
meant|ment
merchandise|merch
miracle|merecal
messenger|messagner
message|messeage
mess|messs
metallic|metalic
mention|metiion
manufacture|mfg
management|mgmt
manager|mgr
miami|miama
midnight|midnite
might|mighti
might|mightt
minute|miin
mild|milada
million|milion
million|millio
mills|millz
minutes|min
mind|mindyy
mine|mines
minutes|mins
minutes|mintues
minutes|minu
minimum|minum
miss|misc
missing|misin
missing|missin
miss|misss
missy|misssy
miss|misz
might|mite
mix|mixx
mix|miz
miss|miz
missing|mizzin
make|mk
okay|mkay
make|mke
market|mkt
marketing|mktg
mailbox|mlb
million|mln
mind|mnd
more|mo
more|moar
mob|mobb
mobile|moble
mode|mod
mom|momz
monday|mon
mandatory|mondatory
montreal|monteal
month|monyh
money|moooney
more|moooreee
more|moore
morning|moornin
more|moreee
morning|morining
morning|morn
morning|mornig
morning|mornin
morning|morningg
morning|morrnin
mosquito|moscato
mother|motha
motivation|motiivation
motorcycle|motorcickle
motorcycle|motorcy
mouth|mouf
mouse|mousse
move|mov
moral|moval
november|movember
movie|moviee
movie|moviie
moving|movin
empire|mpire
marathi|mrathi
more|mre
marketing|mrktg
message|msg
asia|msia
meeting|mtg
much|much1
much|muchh
much|muchhh
music|mucsicc
may|muey
very|muey
mute|muito
mummy|mummmyyy
marked|murked
must|mus
music|musicc
music|musik
music|musiq
mother|mutha
music|muzik
movie|mv
kiss|mwa
kiss|mwah
might|myt
and|n
nothing|n0thin
into|n2
nothing|nada
nice|naice
name|nama
national|nat'l
and|nd
needs|nds
new|ne
web|neb
need|neeed
need|neeeed
need|neeeeed
needs|neeeeeds
next|neext
anyone|neone
her|ner
near|ner
necessary|nes
nothing|nething
nothing|nethng
network|networ
new|neue
never|neva
never|nevah
never|nevr
anyway|neway
new|neww
news|newz
night|nght
nice|nicee
nice|niceee
nice|niceeee
new|nieuw
news|nieuws
negro|nigggga
nigger|nigguh
night|nighhtt
night|nightt
night|nigth
nice|niice
night|niightt
nice|niiice
nice|niiiceeee
nice|niiiiice
nick|nik
night|niqhtt
night|nit
night|nite
night|nitee
nights|nites
number|nmbr
name|nme
notch|noch
nod|noduh
know|noe
nice|noice
nonexistent|nonexistant
nobody|noobody
none|noone
now|noooow
not|nosk
notebook|notebk
nothing|nothin
nothing|nothinn
nothing|nothinq
nothing|nothinqq
nothing|nothn
not|nots
not|nott
nothing|notting
not|notttt
not|nou
now|nou
november|nov
novel|novela
november|novembre
naive|novio
nowhere|nowheree
now|noww
now|nowww
now|nowwww
now|nowwwww
near|nr
number|nr
nissan|nsn
nosing|nsync
not|nt
near|ntar
new|nu
enough|nuff
nothing|nuffin
nothing|nuffn
now|nuh
number|num
number|numba
number|numbah
numeric|numeri
number|numero
nothing|nun
nothing|nuthin
nothing|nuthn
nothing|nutn
nothing|nuttin
nuts|nutz
never|nvr
nevermind|nvrmnd
now|nw
news|nws
next|nxt
name|nyam
night|nyt
nothing|nything
anyway|nyway
okay|oakay
object|obj
obsess|obses
obviously|obv
obviously|obvi
obviously|obvs
occurrence|occurance
o'clock|oclock
odd|od
ode|odeeeee
off|offf
officially|offically
official|oficial
okay|ohkaay
okay|ohkay
okay|okaaaay
okay|okaae
okay|okaay
okay|okayeee
okay|okayy
okay|okayyy
okay|okayyyyyy
okay|okkaaayyy
also|olso
only|oly
one|onee
only|onley
only|onli
only|onlyy
only|onlyyyyyyy
don't|ont
disgusting|oogie
off|oouuff
obviously|oovoo
option|optin
orientation|orentation
organization|org
organize|organise
organizing|organising
orlando|orlandooooo
other|otha
other|otr
otherwise|ots
out|ots
outrageously|outragesly
out|outt
out|outtie
out|outtt
out|outy
over|ova
over|ove
over|overr
obviously|ovioucly
over|ovr
anything|owt
you|oya
packing|packin
painting|paintin
pants|panto
pants|pantz
parachute|parackhute
paragraph|paragraphh
paradise|parisdise
party|partay
partner|partna
partying|partyin
party|partyy
passing|passin
password|passwd
paul|paull
